Model,Accuracy,Precision,Recall,F1 Score
Decision Tree,0.9565217391304348,1.0,0.6666666666666666,0.8
Random Forest,0.9565217391304348,1.0,0.6666666666666666,0.8
Random Forest,0.9565217391304348,1.0,0.6666666666666666,0.8
KNN,0.8695652173913043,0.5,0.3333333333333333,0.4
KNN,0.8695652173913043,0.5,0.3333333333333333,0.4
XGBoost,0.8695652173913043,0.0,0.0,0.0
